Comment,Designator,Footprint,LCSC
1k,"R6,R5,R4,R7,R1,R2",Resistor_SMD:R_0805_2012Metric,C17513
100k,"R8,R3",Resistor_SMD:R_0805_2012Metric,C149504
LMV321,U1,Package_TO_SOT_SMD:SOT-23-5,C7972
