Comment,Designator,Footprint,LCSC
100k,"R5,R7,R1,R3,R9,R11,R13,R15,R17,R19,R21,R23",Resistor_SMD:R_1206_3216Metric,C95527
200k,"R6,R8,R2,R4,R10,R12,R14,R16,R18,R20,R22,R24",Resistor_SMD:R_0805_2012Metric,C133280
AD8603,"U1,U8",Package_TO_SOT_SMD:TSOT-23-5,C9641
SGM3002,"U3,U2,U4,U5,U6,U7",Package_SO:MSOP-10_3x3mm_P0.5mm,C79908
